timestamp_min,temperature_C,humidity_percent,temperature_rate_C_per_min,condition,time_to_critical_min
0,5.0,60.0,0.0397,Normal,125.83
1,5.04,59.97,0.0458,Normal,108.36
2,5.09,60.35,0.0165,Normal,296.74
3,5.07,60.29,0.0538,Normal,91.58
4,5.2,60.48,0.0444,Normal,108.15
5,5.16,60.62,-0.0373,Normal,
6,5.12,60.5,-0.0089,Normal,
7,5.14,60.02,-0.0593,Normal,
8,5.01,59.88,-0.1095,Normal,
9,4.92,59.96,-0.0768,Normal,
10,4.85,59.61,0.0223,Normal,230.79
11,4.97,59.55,0.0613,Normal,82.03
12,4.97,59.19,-0.0191,Normal,
13,4.93,59.22,-0.0678,Normal,
14,4.84,59.31,-0.0701,Normal,
15,4.79,59.24,-0.0481,Normal,
16,4.74,59.7,-0.0246,Normal,
17,4.74,59.44,0.0324,Normal,162.48
18,4.81,59.13,0.0413,Normal,125.85
19,4.82,58.64,-0.0448,Normal,
20,4.72,58.69,-0.0236,Normal,
21,4.78,58.74,0.0249,Normal,209.64
22,4.77,58.66,-0.0638,Normal,
23,4.65,58.48,-0.0776,Normal,
24,4.61,58.75,-0.0047,Normal,
25,4.64,58.31,0.0267,Normal,200.67
26,4.67,58.21,-0.0141,Normal,
27,4.61,58.36,0.0142,Normal,380.41
28,4.69,58.59,0.0077,Normal,691.58
29,4.63,58.52,-0.0203,Normal,
30,4.65,58.76,-0.0059,Normal,
31,4.62,58.71,-0.0634,Normal,
32,4.53,58.42,-0.0118,Normal,
33,4.59,58.75,0.0296,Normal,182.57
34,4.59,59.01,0.0116,Normal,467.29
35,4.62,58.84,0.0289,Normal,186.18
36,4.64,59.23,0.013,Normal,411.26
37,4.64,59.62,-0.1062,Normal,
38,4.43,59.83,-0.1013,Normal,
39,4.44,59.75,0.0072,Normal,777.54
40,4.45,59.25,-0.0051,Normal,
41,4.43,59.34,0.0503,Normal,110.7
42,4.55,59.21,0.0268,Normal,203.66
43,4.48,59.09,0.0043,Normal,1290.33
44,4.56,59.17,0.0154,Normal,352.96
45,4.51,59.3,-0.0173,Normal,
46,4.52,59.54,-0.0242,Normal,
47,4.46,59.46,-0.0438,Normal,
48,4.43,59.09,-0.0038,Normal,
49,4.46,59.16,0.012,Normal,460.03
50,4.46,59.1,-0.0564,Normal,
51,4.34,58.99,-0.0703,Normal,
52,4.32,58.79,-0.0202,Normal,
53,4.3,58.9,0.069,Normal,82.56
54,4.45,58.94,0.0857,Normal,64.67
55,4.48,58.92,-0.0664,Normal,
56,4.32,58.91,-0.0743,Normal,
57,4.33,59.53,-0.0053,Normal,
58,4.31,59.6,-0.0091,Normal,
59,4.31,59.31,0.0443,Normal,128.41
60,4.4,59.5,0.0774,Normal,72.4
61,4.46,59.27,0.0878,Normal,63.1
62,4.58,58.92,0.0796,Normal,68.16
63,4.62,59.47,-0.0161,Normal,
64,4.54,59.33,-0.0356,Normal,
65,4.55,59.2,-0.058,Normal,
66,4.43,59.22,-0.1045,Normal,
67,4.34,59.34,-0.0793,Normal,
68,4.27,59.73,-0.0681,Normal,
